population,men,women,white,black,hispanic,asian,native,average_income,poverty,employed,unemployed,winning_party
25855.0,49.75,50.25,91.8,5.0,1.6,0.1,0.5,40041.0,16.1,38.21,5.3,2
43805.0,49.2,50.8,80.4,9.5,7.7,0.4,0.4,43501.0,19.4,40.35,6.7,2
13188.0,47.6,52.4,56.3,42.1,0.5,0.1,0.0,32122.0,22.3,32.61,9.8,2
24625.0,47.31,52.69,53.0,45.7,0.2,0.5,0.1,33827.0,25.3,32.22,15.2,2
13407.0,48.27,51.73,80.2,14.7,3.1,0.0,0.9,37287.0,19.1,41.09,6.4,2
14939.0,49.31,50.69,92.7,2.8,2.4,0.5,0.3,37396.0,19.1,38.44,7.8,2
51073.0,49.39,50.61,71.0,17.1,6.7,1.3,1.0,49821.0,16.1,42.37,6.0,2
54435.0,48.03,51.97,78.8,15.9,2.4,0.5,0.7,45477.0,16.8,40.75,6.9,2
12649.0,47.75,52.25,50.3,46.3,1.8,0.0,0.2,30434.0,26.4,31.19,14.5,2
10955.0,49.97,50.03,65.3,33.2,0.1,0.0,0.1,34792.0,14.4,35.57,11.3,2
55036.0,48.88,51.12,75.4,18.9,2.7,0.9,0.3,55317.0,13.7,43.81,5.2,2
37519.0,48.33,51.67,83.5,13.0,1.6,0.4,0.3,39467.0,17.6,39.14,10.7,2
13866.0,48.94,51.06,71.2,23.1,1.8,1.4,0.8,38937.0,17.6,41.11,6.4,2
81703.0,49.23,50.77,92.3,1.1,4.2,0.6,0.4,40997.0,16.4,39.25,5.8,2
49393.0,49.65,50.35,69.5,19.2,6.1,0.9,0.5,44711.0,19.6,36.42,10.4,2
40755.0,46.15,53.85,27.7,70.2,1.0,0.4,0.0,30065.0,31.9,35.48,13.7,2
40755.0,46.15,53.85,27.7,70.2,1.0,0.4,0.0,30065.0,31.9,35.48,13.7,1
71194.0,49.62,50.38,80.8,1.4,14.3,0.3,1.2,38842.0,21.5,39.91,5.1,2
80989.0,48.6,51.4,73.4,21.2,2.9,0.6,0.3,54981.0,13.5,40.81,7.3,2
37621.0,51.37,48.63,60.2,32.2,2.2,0.4,3.6,35026.0,23.8,32.25,13.7,2
103132.0,48.23,51.77,78.3,15.4,3.7,0.7,0.5,42064.0,17.9,40.15,7.6,2
16657.0,49.17,50.83,85.0,11.5,1.7,0.5,0.0,36541.0,18.1,37.86,8.4,2
203360.0,48.94,51.06,83.1,9.5,4.4,0.7,0.8,52562.0,11.8,44.02,5.5,2
31507.0,50.2,49.8,77.7,4.7,16.3,0.4,0.2,39501.0,23.0,39.78,8.2,2
26572.0,48.95,51.05,84.0,9.2,3.8,0.4,0.6,39293.0,22.5,38.79,8.9,2
8533.0,47.56,52.44,17.1,80.3,1.2,0.0,0.6,20954.0,38.8,28.26,14.8,2
8533.0,47.56,52.44,17.1,80.3,1.2,0.0,0.6,20954.0,38.8,28.26,14.8,1
14995.0,47.01,52.99,39.5,58.7,1.3,0.2,0.2,34679.0,26.1,35.03,11.7,2
14995.0,47.01,52.99,39.5,58.7,1.3,0.2,0.2,34679.0,26.1,35.03,11.7,1
17110.0,47.97,52.03,68.7,27.8,2.5,0.0,0.0,45569.0,13.7,40.61,6.7,2
104108.0,47.94,52.06,67.2,26.5,3.2,0.8,0.3,42803.0,18.5,42.37,7.6,2
52326.0,49.14,50.86,89.3,3.2,2.9,0.5,1.0,39281.0,19.0,38.72,7.7,2
659460.0,47.36,52.64,50.4,42.4,3.7,1.5,0.2,49321.0,17.6,45.6,7.7,2
659460.0,47.36,52.64,50.4,42.4,3.7,1.5,0.2,49321.0,17.6,45.6,7.7,1
14021.0,49.03,50.97,86.0,10.8,1.5,0.0,0.3,36016.0,23.1,38.34,7.9,2
92590.0,47.81,52.19,84.9,9.8,2.5,0.7,0.4,44888.0,16.3,43.05,6.6,2
26201.0,53.34,46.66,45.7,47.8,4.2,0.6,0.2,33368.0,27.2,33.88,12.4,2
33288.0,48.56,51.44,76.6,11.4,2.1,0.1,5.2,43779.0,16.6,37.48,7.2,2
156597.0,49.28,50.72,67.6,22.9,3.7,3.8,0.1,47564.0,22.0,45.77,5.7,2
91695.0,50.05,49.95,77.2,13.1,5.8,1.2,0.7,52831.0,14.8,42.47,7.1,2
10362.0,47.25,52.75,24.3,74.4,0.7,0.0,0.1,29785.0,30.2,34.1,11.2,2
10362.0,47.25,52.75,24.3,74.4,0.7,0.0,0.1,29785.0,30.2,34.1,11.2,1
19358.0,46.15,53.85,15.5,81.5,1.6,0.2,0.2,32308.0,25.9,37.96,14.5,2
19358.0,46.15,53.85,15.5,81.5,1.6,0.2,0.2,32308.0,25.9,37.96,14.5,1
353213.0,48.86,51.14,65.1,24.0,4.7,2.5,0.6,61318.0,13.6,48.06,6.5,2
19743.0,46.78,53.22,45.1,54.1,0.4,0.0,0.1,32255.0,25.6,33.66,12.8,2
19743.0,46.78,53.22,45.1,54.1,0.4,0.0,0.1,32255.0,25.6,33.66,12.8,1
30058.0,49.5,50.5,91.9,3.2,2.5,0.3,0.4,35719.0,17.6,39.59,5.5,2
94738.0,49.37,50.63,81.8,2.2,13.3,0.6,0.5,41104.0,21.0,40.59,6.5,2
414328.0,47.78,52.22,57.5,35.2,2.8,1.9,0.6,45802.0,19.3,41.8,7.5,2
22580.0,54.26,45.74,74.6,22.0,2.4,0.0,0.4,43404.0,15.2,36.19,8.2,2
21745.0,47.62,52.38,54.5,40.8,1.3,0.5,1.3,26036.0,33.7,28.3,21.6,2
227120.0,47.32,52.68,35.2,57.1,3.4,2.4,0.1,46545.0,20.8,44.41,7.6,2
227120.0,47.32,52.68,35.2,57.1,3.4,2.4,0.1,46545.0,20.8,44.41,7.6,1
119157.0,49.31,50.69,76.4,12.3,8.0,0.7,0.5,47529.0,16.6,42.47,6.5,2
9680.0,47.83,52.17,29.4,69.6,0.7,0.2,0.1,22973.0,41.9,25.6,11.8,2
9680.0,47.83,52.17,29.4,69.6,0.7,0.2,0.1,22973.0,41.9,25.6,11.8,1
20170.0,47.6,52.4,54.1,40.5,4.1,0.1,0.1,36220.0,22.9,34.22,12.2,2
33287.0,47.76,52.24,56.4,37.9,0.8,2.2,0.6,35684.0,26.3,43.12,8.7,2
22530.0,48.81,51.19,75.3,19.4,3.0,0.2,0.2,39485.0,18.7,38.02,5.8,2
58480.0,48.6,51.4,47.8,42.4,5.2,0.7,0.4,38988.0,20.9,39.26,9.7,2
58480.0,48.6,51.4,47.8,42.4,5.2,0.7,0.4,38988.0,20.9,39.26,9.7,1
86937.0,50.0,50.0,86.2,9.3,2.3,0.8,0.2,53483.0,13.7,44.31,5.8,2
208721.0,48.59,51.41,78.5,11.7,5.8,1.9,0.2,74063.0,8.3,49.87,4.3,2
57667.0,49.4,50.6,87.4,1.5,9.0,0.1,0.3,47412.0,15.6,37.07,4.9,2
13084.0,46.11,53.89,24.6,70.7,0.3,3.0,0.5,21663.0,36.0,33.27,13.4,2
13084.0,46.11,53.89,24.6,70.7,0.3,3.0,0.5,21663.0,36.0,33.27,13.4,1
80888.0,48.39,51.61,63.1,32.1,2.2,0.6,0.3,39219.0,19.3,38.25,10.0,2
40756.0,48.13,51.87,68.9,27.2,2.4,0.4,0.4,42181.0,21.2,37.58,9.2,2
204424.0,48.29,51.71,62.4,31.2,3.5,1.5,0.1,50513.0,17.3,44.49,6.7,2
